1	chr1
QNVO02001354.1	chrUn_NW_021161213v1
QNVO02001342.1	chrUn_NW_021161201v1
QNVO02001412.1	chrUn_NW_021161271v1
QNVO02001333.1	chrUn_NW_021161192v1
QNVO02001350.1	chrUn_NW_021161209v1
QNVO02001329.1	chrUn_NW_021161188v1
QNVO02001349.1	chrUn_NW_021161208v1
QNVO02001335.1	chrUn_NW_021161194v1
QNVO02001341.1	chrUn_NW_021161200v1
QNVO02001337.1	chrUn_NW_021161196v1
QNVO02001683.1	chrUn_NW_021161542v1
QNVO02001324.1	chrUn_NW_021161183v1
QNVO02001338.1	chrUn_NW_021161197v1
QNVO02001344.1	chrUn_NW_021161203v1
QNVO02001332.1	chrUn_NW_021161191v1
QNVO02001321.1	chrUn_NW_021161180v1
QNVO02001327.1	chrUn_NW_021161186v1
QNVO02000373.1	chr5_NW_021160164v1_random
QNVO02001316.1	chrUn_NW_021161175v1
QNVO02001320.1	chrUn_NW_021161179v1
QNVO02001328.1	chrUn_NW_021161187v1
QNVO02000260.1	chr1_NW_021160095v1_random
QNVO02000113.1	chr14_NW_021160283v1_random
QNVO02001319.1	chrUn_NW_021161178v1
QNVO02001034.1	chrUn_NW_021160893v1
QNVO02001307.1	chrUn_NW_021161166v1
QNVO02001317.1	chrUn_NW_021161176v1
QNVO02001311.1	chrUn_NW_021161170v1
QNVO02001310.1	chrUn_NW_021161169v1
QNVO02001318.1	chrUn_NW_021161177v1
QNVO02001315.1	chrUn_NW_021161174v1
QNVO02001323.1	chrUn_NW_021161182v1
QNVO02001305.1	chrUn_NW_021161164v1
QNVO02001363.1	chrUn_NW_021161222v1
QNVO02000216.1	chr18_NW_021160350v1_random
QNVO02000529.1	chrUn_NW_021160395v1
QNVO02001348.1	chrUn_NW_021161207v1
QNVO02001314.1	chrUn_NW_021161173v1
QNVO02001334.1	chrUn_NW_021161193v1
QNVO02000458.1	chr8_NW_021160210v1_random
QNVO02003047.1	chrUn_NW_021162901v1
QNVO02001336.1	chrUn_NW_021161195v1
QNVO02001312.1	chrUn_NW_021161171v1
QNVO02001306.1	chrUn_NW_021161165v1
QNVO02001302.1	chrUn_NW_021161161v1
QNVO02001295.1	chrUn_NW_021161154v1
QNVO02000778.1	chrUn_NW_021160639v1
QNVO02001301.1	chrUn_NW_021161160v1
QNVO02002254.1	chrUn_NW_021162108v1
QNVO02001300.1	chrUn_NW_021161159v1
QNVO02001298.1	chrUn_NW_021161157v1
QNVO02001521.1	chrUn_NW_021161380v1
QNVO02001287.1	chrUn_NW_021161146v1
QNVO02000441.1	chr7_NW_021160208v1_random
QNVO02000052.1	chr10_NW_021160254v1_random
QNVO02001288.1	chrUn_NW_021161147v1
QNVO02001297.1	chrUn_NW_021161156v1
QNVO02001289.1	chrUn_NW_021161148v1
QNVO02001267.1	chrUn_NW_021161126v1
QNVO02001304.1	chrUn_NW_021161163v1
QNVO02001286.1	chrUn_NW_021161145v1
QNVO02001290.1	chrUn_NW_021161149v1
QNVO02001285.1	chrUn_NW_021161144v1
QNVO02001291.1	chrUn_NW_021161150v1
QNVO02000041.1	chr10_NW_021160243v1_random
QNVO02001283.1	chrUn_NW_021161142v1
QNVO02001293.1	chrUn_NW_021161152v1
QNVO02001869.1	chrUn_NW_021161725v1
QNVO02001281.1	chrUn_NW_021161140v1
QNVO02001284.1	chrUn_NW_021161143v1
QNVO02001331.1	chrUn_NW_021161190v1
QNVO02001278.1	chrUn_NW_021161137v1
QNVO02002399.1	chrUn_NW_021162253v1
QNVO02001272.1	chrUn_NW_021161131v1
QNVO02000199.1	chr17_NW_021160336v1_random
QNVO02001270.1	chrUn_NW_021161129v1
QNVO02001276.1	chrUn_NW_021161135v1
QNVO02001265.1	chrUn_NW_021161124v1
QNVO02001277.1	chrUn_NW_021161136v1
QNVO02001816.1	chrUn_NW_021161672v1
QNVO02001271.1	chrUn_NW_021161130v1
QNVO02001279.1	chrUn_NW_021161138v1
QNVO02000198.1	chr17_NW_021160335v1_random
QNVO02001275.1	chrUn_NW_021161134v1
QNVO02000197.1	chr17_NW_021160334v1_random
QNVO02000426.1	chr7_NW_021160193v1_random
QNVO02001326.1	chrUn_NW_021161185v1
QNVO02001262.1	chrUn_NW_021161121v1
QNVO02001258.1	chrUn_NW_021161117v1
QNVO02001299.1	chrUn_NW_021161158v1
QNVO02000196.1	chr17_NW_021160333v1_random
QNVO02001260.1	chrUn_NW_021161119v1
QNVO02000628.1	chrUn_NW_021160494v1
QNVO02001257.1	chrUn_NW_021161116v1
QNVO02001264.1	chrUn_NW_021161123v1
QNVO02001534.1	chrUn_NW_021161393v1
QNVO02000062.1	chr11_NW_021160256v1_random
QNVO02001259.1	chrUn_NW_021161118v1
QNVO02001261.1	chrUn_NW_021161120v1
QNVO02001250.1	chrUn_NW_021161109v1
QNVO02001255.1	chrUn_NW_021161114v1
QNVO02000664.1	chrUn_NW_021160528v1
QNVO02001256.1	chrUn_NW_021161115v1
QNVO02001252.1	chrUn_NW_021161111v1
QNVO02001248.1	chrUn_NW_021161107v1
QNVO02001266.1	chrUn_NW_021161125v1
QNVO02001246.1	chrUn_NW_021161105v1
QNVO02000708.1	chrUn_NW_021160572v1
QNVO02001240.1	chrUn_NW_021161099v1
QNVO02001247.1	chrUn_NW_021161106v1
QNVO02001245.1	chrUn_NW_021161104v1
QNVO02001236.1	chrUn_NW_021161095v1
QNVO02002970.1	chrUn_NW_021162824v1
QNVO02001235.1	chrUn_NW_021161094v1
QNVO02001232.1	chrUn_NW_021161091v1
QNVO02000297.1	chr2_NW_021160115v1_random
QNVO02001296.1	chrUn_NW_021161155v1
QNVO02000333.1	chr3_NW_021160143v1_random
QNVO02000082.1	chr12_NW_021160269v1_random
QNVO02000237.1	chr19_NW_021160357v1_random
QNVO02001238.1	chrUn_NW_021161097v1
QNVO02001268.1	chrUn_NW_021161127v1
QNVO02001243.1	chrUn_NW_021161102v1
QNVO02001231.1	chrUn_NW_021161090v1
QNVO02001239.1	chrUn_NW_021161098v1
QNVO02001229.1	chrUn_NW_021161088v1
QNVO02001237.1	chrUn_NW_021161096v1
QNVO02001230.1	chrUn_NW_021161089v1
QNVO02001221.1	chrUn_NW_021161080v1
QNVO02001217.1	chrUn_NW_021161076v1
QNVO02001233.1	chrUn_NW_021161092v1
QNVO02001216.1	chrUn_NW_021161075v1
QNVO02001309.1	chrUn_NW_021161168v1
QNVO02001224.1	chrUn_NW_021161083v1
QNVO02000811.1	chrUn_NW_021160672v1
QNVO02001222.1	chrUn_NW_021161081v1
QNVO02001242.1	chrUn_NW_021161101v1
QNVO02001680.1	chrUn_NW_021161539v1
QNVO02001888.1	chrUn_NW_021161744v1
QNVO02001578.1	chrUn_NW_021161437v1
QNVO02000349.1	chr4_NW_021160147v1_random
QNVO02002088.1	chrUn_NW_021161942v1
QNVO02000617.1	chrUn_NW_021160483v1
QNVO02001249.1	chrUn_NW_021161108v1
QNVO02001280.1	chrUn_NW_021161139v1
QNVO02000129.1	chr14_NW_021160299v1_random
QNVO02001227.1	chrUn_NW_021161086v1
QNVO02001218.1	chrUn_NW_021161077v1
QNVO02001207.1	chrUn_NW_021161066v1
QNVO02001392.1	chrUn_NW_021161251v1
QNVO02000372.1	chr5_NW_021160163v1_random
QNVO02000320.1	chr3_NW_021160130v1_random
QNVO02001200.1	chrUn_NW_021161059v1
QNVO02001208.1	chrUn_NW_021161067v1
QNVO02001211.1	chrUn_NW_021161070v1
QNVO02001206.1	chrUn_NW_021161065v1
QNVO02000472.1	chr8_NW_021160224v1_random
QNVO02000318.1	chr3_NW_021160128v1_random
QNVO02001210.1	chrUn_NW_021161069v1
QNVO02001201.1	chrUn_NW_021161060v1
QNVO02001226.1	chrUn_NW_021161085v1
QNVO02001669.1	chrUn_NW_021161528v1
QNVO02001203.1	chrUn_NW_021161062v1
QNVO02001439.1	chrUn_NW_021161298v1
QNVO02001215.1	chrUn_NW_021161074v1
QNVO02001219.1	chrUn_NW_021161078v1
QNVO02001205.1	chrUn_NW_021161064v1
QNVO02001194.1	chrUn_NW_021161053v1
QNVO02001325.1	chrUn_NW_021161184v1
QNVO02000040.1	chr10_NW_021160242v1_random
QNVO02001220.1	chrUn_NW_021161079v1
QNVO02001199.1	chrUn_NW_021161058v1
QNVO02001187.1	chrUn_NW_021161046v1
QNVO02001191.1	chrUn_NW_021161050v1
QNVO02000039.1	chr10_NW_021160241v1_random
QNVO02000317.1	chr3_NW_021160127v1_random
QNVO02001198.1	chrUn_NW_021161057v1
QNVO02000899.1	chrUn_NW_021160760v1
QNVO02000316.1	chr3_NW_021160126v1_random
QNVO02001190.1	chrUn_NW_021161049v1
QNVO02001212.1	chrUn_NW_021161071v1
QNVO02001214.1	chrUn_NW_021161073v1
QNVO02001175.1	chrUn_NW_021161034v1
QNVO02001189.1	chrUn_NW_021161048v1
QNVO02001308.1	chrUn_NW_021161167v1
QNVO02001185.1	chrUn_NW_021161044v1
QNVO02000517.1	chr9_NW_021160239v1_random
QNVO02001192.1	chrUn_NW_021161051v1
QNVO02001184.1	chrUn_NW_021161043v1
QNVO02001209.1	chrUn_NW_021161068v1
QNVO02001202.1	chrUn_NW_021161061v1
QNVO02001178.1	chrUn_NW_021161037v1
QNVO02001181.1	chrUn_NW_021161040v1
QNVO02001228.1	chrUn_NW_021161087v1
QNVO02001180.1	chrUn_NW_021161039v1
QNVO02001183.1	chrUn_NW_021161042v1
QNVO02001188.1	chrUn_NW_021161047v1
QNVO02001171.1	chrUn_NW_021161030v1
QNVO02001193.1	chrUn_NW_021161052v1
QNVO02000425.1	chr7_NW_021160192v1_random
QNVO02001196.1	chrUn_NW_021161055v1
QNVO02001173.1	chrUn_NW_021161032v1
QNVO02001174.1	chrUn_NW_021161033v1
QNVO02001164.1	chrUn_NW_021161023v1
QNVO02001177.1	chrUn_NW_021161036v1
QNVO02000464.1	chr8_NW_021160216v1_random
QNVO02001160.1	chrUn_NW_021161019v1
QNVO02001161.1	chrUn_NW_021161020v1
QNVO02001172.1	chrUn_NW_021161031v1
QNVO02001166.1	chrUn_NW_021161025v1
QNVO02001157.1	chrUn_NW_021161016v1
QNVO02001182.1	chrUn_NW_021161041v1
QNVO02001163.1	chrUn_NW_021161022v1
QNVO02001168.1	chrUn_NW_021161027v1
QNVO02001162.1	chrUn_NW_021161021v1
QNVO02001159.1	chrUn_NW_021161018v1
QNVO02002959.1	chrUn_NW_021162813v1
QNVO02002150.1	chrUn_NW_021162004v1
QNVO02001148.1	chrUn_NW_021161007v1
QNVO02001158.1	chrUn_NW_021161017v1
QNVO02001055.1	chrUn_NW_021160914v1
QNVO02000394.1	chr6_NW_021160178v1_random
QNVO02001380.1	chrUn_NW_021161239v1
QNVO02001197.1	chrUn_NW_021161056v1
QNVO02001156.1	chrUn_NW_021161015v1
QNVO02000166.1	chr16_NW_021160315v1_random
QNVO02001154.1	chrUn_NW_021161013v1
QNVO02001151.1	chrUn_NW_021161010v1
QNVO02000061.1	chr11_NW_021160255v1_random
QNVO02001140.1	chrUn_NW_021160999v1
QNVO02001147.1	chrUn_NW_021161006v1
QNVO02001150.1	chrUn_NW_021161009v1
QNVO02001152.1	chrUn_NW_021161011v1
QNVO02001149.1	chrUn_NW_021161008v1
QNVO02001137.1	chrUn_NW_021160996v1
QNVO02001167.1	chrUn_NW_021161026v1
QNVO02001133.1	chrUn_NW_021160992v1
QNVO02000424.1	chr7_NW_021160191v1_random
QNVO02001138.1	chrUn_NW_021160997v1
QNVO02001139.1	chrUn_NW_021160998v1
QNVO02001132.1	chrUn_NW_021160991v1
QNVO02000154.1	chr15_NW_021160314v1_random
QNVO02001143.1	chrUn_NW_021161002v1
QNVO02001170.1	chrUn_NW_021161029v1
QNVO02001123.1	chrUn_NW_021160982v1
QNVO02001135.1	chrUn_NW_021160994v1
QNVO02001130.1	chrUn_NW_021160989v1
QNVO02001353.1	chrUn_NW_021161212v1
QNVO02002158.1	chrUn_NW_021162012v1
QNVO02001129.1	chrUn_NW_021160988v1
QNVO02001343.1	chrUn_NW_021161202v1
QNVO02001131.1	chrUn_NW_021160990v1
QNVO02000393.1	chr6_NW_021160177v1_random
QNVO02001142.1	chrUn_NW_021161001v1
QNVO02001120.1	chrUn_NW_021160979v1
QNVO02001122.1	chrUn_NW_021160981v1
QNVO02003133.1	chrUn_NW_021162987v1
QNVO02001121.1	chrUn_NW_021160980v1
QNVO02001113.1	chrUn_NW_021160972v1
QNVO02001145.1	chrUn_NW_021161004v1
QNVO02001128.1	chrUn_NW_021160987v1
QNVO02001116.1	chrUn_NW_021160975v1
QNVO02001127.1	chrUn_NW_021160986v1
QNVO02001119.1	chrUn_NW_021160978v1
QNVO02000540.1	chrUn_NW_021160406v1
QNVO02001124.1	chrUn_NW_021160983v1
QNVO02001111.1	chrUn_NW_021160970v1
QNVO02000128.1	chr14_NW_021160298v1_random
QNVO02000181.1	chr16_NW_021160330v1_random
QNVO02001117.1	chrUn_NW_021160976v1
QNVO02001112.1	chrUn_NW_021160971v1
QNVO02001141.1	chrUn_NW_021161000v1
QNVO02000211.1	chr17_NW_021160348v1_random
QNVO02001114.1	chrUn_NW_021160973v1
QNVO02001118.1	chrUn_NW_021160977v1
QNVO02001179.1	chrUn_NW_021161038v1
QNVO02000348.1	chr4_NW_021160146v1_random
QNVO02001134.1	chrUn_NW_021160993v1
QNVO02001586.1	chrUn_NW_021161445v1
QNVO02001104.1	chrUn_NW_021160963v1
QNVO02000347.1	chr4_NW_021160145v1_random
QNVO02001109.1	chrUn_NW_021160968v1
QNVO02001105.1	chrUn_NW_021160964v1
QNVO02001099.1	chrUn_NW_021160958v1
QNVO02001107.1	chrUn_NW_021160966v1
QNVO02001094.1	chrUn_NW_021160953v1
QNVO02001102.1	chrUn_NW_021160961v1
QNVO02001403.1	chrUn_NW_021161262v1
QNVO02001774.1	chrUn_NW_021161630v1
QNVO02001108.1	chrUn_NW_021160967v1
QNVO02001098.1	chrUn_NW_021160957v1
QNVO02000371.1	chr5_NW_021160162v1_random
QNVO02000259.1	chr1_NW_021160094v1_random
QNVO02001101.1	chrUn_NW_021160960v1
QNVO02001144.1	chrUn_NW_021161003v1
QNVO02001628.1	chrUn_NW_021161487v1
QNVO02001103.1	chrUn_NW_021160962v1
QNVO02001096.1	chrUn_NW_021160955v1
QNVO02001448.1	chrUn_NW_021161307v1
QNVO02001092.1	chrUn_NW_021160951v1
QNVO02001110.1	chrUn_NW_021160969v1
QNVO02002409.1	chrUn_NW_021162263v1
QNVO02001091.1	chrUn_NW_021160950v1
QNVO02001044.1	chrUn_NW_021160903v1
QNVO02001073.1	chrUn_NW_021160932v1
QNVO02001087.1	chrUn_NW_021160946v1
QNVO02001081.1	chrUn_NW_021160940v1
QNVO02001077.1	chrUn_NW_021160936v1
QNVO02001068.1	chrUn_NW_021160927v1
QNVO02001085.1	chrUn_NW_021160944v1
QNVO02001169.1	chrUn_NW_021161028v1
QNVO02001075.1	chrUn_NW_021160934v1
QNVO02001536.1	chrUn_NW_021161395v1
QNVO02000741.1	chrUn_NW_021160605v1
QNVO02001082.1	chrUn_NW_021160941v1
QNVO02001080.1	chrUn_NW_021160939v1
QNVO02000293.1	chr20_NW_021160377v1_random
QNVO02001251.1	chrUn_NW_021161110v1
QNVO02001095.1	chrUn_NW_021160954v1
QNVO02001062.1	chrUn_NW_021160921v1
QNVO02001070.1	chrUn_NW_021160929v1
QNVO02001079.1	chrUn_NW_021160938v1
QNVO02001093.1	chrUn_NW_021160952v1
QNVO02001072.1	chrUn_NW_021160931v1
QNVO02001089.1	chrUn_NW_021160948v1
QNVO02001069.1	chrUn_NW_021160928v1
QNVO02001067.1	chrUn_NW_021160926v1
QNVO02001064.1	chrUn_NW_021160923v1
QNVO02001078.1	chrUn_NW_021160937v1
QNVO02001100.1	chrUn_NW_021160959v1
QNVO02001066.1	chrUn_NW_021160925v1
QNVO02001060.1	chrUn_NW_021160919v1
QNVO02003155.1	chrUn_NW_021163009v1
QNVO02001084.1	chrUn_NW_021160943v1
QNVO02001050.1	chrUn_NW_021160909v1
QNVO02000194.1	chr17_NW_021160331v1_random
QNVO02001053.1	chrUn_NW_021160912v1
QNVO02001074.1	chrUn_NW_021160933v1
QNVO02001061.1	chrUn_NW_021160920v1
QNVO02001057.1	chrUn_NW_021160916v1
QNVO02001052.1	chrUn_NW_021160911v1
QNVO02001418.1	chrUn_NW_021161277v1
QNVO02001054.1	chrUn_NW_021160913v1
QNVO02001059.1	chrUn_NW_021160918v1
QNVO02001049.1	chrUn_NW_021160908v1
QNVO02000949.1	chrUn_NW_021160810v1
QNVO02001056.1	chrUn_NW_021160915v1
QNVO02001051.1	chrUn_NW_021160910v1
QNVO02001040.1	chrUn_NW_021160899v1
QNVO02001042.1	chrUn_NW_021160901v1
QNVO02001046.1	chrUn_NW_021160905v1
QNVO02001033.1	chrUn_NW_021160892v1
QNVO02002789.1	chrUn_NW_021162643v1
QNVO02001047.1	chrUn_NW_021160906v1
QNVO02001036.1	chrUn_NW_021160895v1
QNVO02000655.1	chrUn_NW_021160519v1
QNVO02001043.1	chrUn_NW_021160902v1
QNVO02001035.1	chrUn_NW_021160894v1
QNVO02000957.1	chrUn_NW_021160818v1
QNVO02001038.1	chrUn_NW_021160897v1
QNVO02000877.1	chrUn_NW_021160738v1
QNVO02000315.1	chr3_NW_021160125v1_random
QNVO02001029.1	chrUn_NW_021160888v1
QNVO02001021.1	chrUn_NW_021160880v1
QNVO02001063.1	chrUn_NW_021160922v1
QNVO02001031.1	chrUn_NW_021160890v1
QNVO02001041.1	chrUn_NW_021160900v1
QNVO02001032.1	chrUn_NW_021160891v1
QNVO02001039.1	chrUn_NW_021160898v1
QNVO02001083.1	chrUn_NW_021160942v1
QNVO02001020.1	chrUn_NW_021160879v1
QNVO02001019.1	chrUn_NW_021160878v1
QNVO02001026.1	chrUn_NW_021160885v1
QNVO02001027.1	chrUn_NW_021160886v1
QNVO02001018.1	chrUn_NW_021160877v1
QNVO02001037.1	chrUn_NW_021160896v1
QNVO02001016.1	chrUn_NW_021160875v1
QNVO02001025.1	chrUn_NW_021160884v1
QNVO02001028.1	chrUn_NW_021160887v1
QNVO02000979.1	chrUn_NW_021160838v1
QNVO02001058.1	chrUn_NW_021160917v1
QNVO02003080.1	chrUn_NW_021162934v1
QNVO02001022.1	chrUn_NW_021160881v1
QNVO02000600.1	chrUn_NW_021160466v1
QNVO02001024.1	chrUn_NW_021160883v1
QNVO02001048.1	chrUn_NW_021160907v1
QNVO02001010.1	chrUn_NW_021160869v1
QNVO02001015.1	chrUn_NW_021160874v1
QNVO02001005.1	chrUn_NW_021160864v1
QNVO02002423.1	chrUn_NW_021162277v1
QNVO02000573.1	chrUn_NW_021160439v1
QNVO02001014.1	chrUn_NW_021160873v1
QNVO02001008.1	chrUn_NW_021160867v1
QNVO02001007.1	chrUn_NW_021160866v1
QNVO02000996.1	chrUn_NW_021160855v1
QNVO02001013.1	chrUn_NW_021160872v1
QNVO02001006.1	chrUn_NW_021160865v1
QNVO02000993.1	chrUn_NW_021160852v1
QNVO02001002.1	chrUn_NW_021160861v1
QNVO02001000.1	chrUn_NW_021160859v1
QNVO02000995.1	chrUn_NW_021160854v1
QNVO02001004.1	chrUn_NW_021160863v1
QNVO02001011.1	chrUn_NW_021160870v1
QNVO02001017.1	chrUn_NW_021160876v1
QNVO02000992.1	chrUn_NW_021160851v1
QNVO02000999.1	chrUn_NW_021160858v1
QNVO02000998.1	chrUn_NW_021160857v1
QNVO02000997.1	chrUn_NW_021160856v1
QNVO02000980.1	chrUn_NW_021160839v1
QNVO02000971.1	chrUn_NW_021160830v1
QNVO02000983.1	chrUn_NW_021160842v1
QNVO02001009.1	chrUn_NW_021160868v1
QNVO02000991.1	chrUn_NW_021160850v1
QNVO02000956.1	chrUn_NW_021160817v1
QNVO02000994.1	chrUn_NW_021160853v1
QNVO02000989.1	chrUn_NW_021160848v1
QNVO02000985.1	chrUn_NW_021160844v1
QNVO02001003.1	chrUn_NW_021160862v1
QNVO02000970.1	chrUn_NW_021160829v1
QNVO02000987.1	chrUn_NW_021160846v1
QNVO02000986.1	chrUn_NW_021160845v1
QNVO02000972.1	chrUn_NW_021160831v1
QNVO02000961.1	chrUn_NW_021160822v1
QNVO02000969.1	chrUn_NW_021160828v1
QNVO02000975.1	chrUn_NW_021160834v1
QNVO02001030.1	chrUn_NW_021160889v1
QNVO02000973.1	chrUn_NW_021160832v1
QNVO02000959.1	chrUn_NW_021160820v1
QNVO02000962.1	chrUn_NW_021160823v1
QNVO02000984.1	chrUn_NW_021160843v1
QNVO02000981.1	chrUn_NW_021160840v1
QNVO02000977.1	chrUn_NW_021160836v1
QNVO02000960.1	chrUn_NW_021160821v1
QNVO02001065.1	chrUn_NW_021160924v1
QNVO02000964.1	chrUn_NW_021160825v1
QNVO02000982.1	chrUn_NW_021160841v1
QNVO02000963.1	chrUn_NW_021160824v1
QNVO02000958.1	chrUn_NW_021160819v1
QNVO02002415.1	chrUn_NW_021162269v1
QNVO02000953.1	chrUn_NW_021160814v1
QNVO02001071.1	chrUn_NW_021160930v1
QNVO02000822.1	chrUn_NW_021160683v1
QNVO02000938.1	chrUn_NW_021160799v1
QNVO02000948.1	chrUn_NW_021160809v1
QNVO02000974.1	chrUn_NW_021160833v1
QNVO02000947.1	chrUn_NW_021160808v1
QNVO02000945.1	chrUn_NW_021160806v1
QNVO02000950.1	chrUn_NW_021160811v1
QNVO02000952.1	chrUn_NW_021160813v1
QNVO02000944.1	chrUn_NW_021160805v1
QNVO02000946.1	chrUn_NW_021160807v1
QNVO02000937.1	chrUn_NW_021160798v1
QNVO02000939.1	chrUn_NW_021160800v1
QNVO02000951.1	chrUn_NW_021160812v1
QNVO02000941.1	chrUn_NW_021160802v1
QNVO02000942.1	chrUn_NW_021160803v1
QNVO02000933.1	chrUn_NW_021160794v1
QNVO02000844.1	chrUn_NW_021160705v1
QNVO02000955.1	chrUn_NW_021160816v1
QNVO02000922.1	chrUn_NW_021160783v1
QNVO02000730.1	chrUn_NW_021160594v1
QNVO02000926.1	chrUn_NW_021160787v1
QNVO02000866.1	chrUn_NW_021160727v1
QNVO02000930.1	chrUn_NW_021160791v1
QNVO02000910.1	chrUn_NW_021160771v1
QNVO02000918.1	chrUn_NW_021160779v1
QNVO02001225.1	chrUn_NW_021161084v1
QNVO02000929.1	chrUn_NW_021160790v1
QNVO02000934.1	chrUn_NW_021160795v1
QNVO02002948.1	chrUn_NW_021162802v1
QNVO02000920.1	chrUn_NW_021160781v1
QNVO02000936.1	chrUn_NW_021160797v1
QNVO02000927.1	chrUn_NW_021160788v1
QNVO02000917.1	chrUn_NW_021160778v1
QNVO02000923.1	chrUn_NW_021160784v1
QNVO02000988.1	chrUn_NW_021160847v1
QNVO02003025.1	chrUn_NW_021162879v1
QNVO02000919.1	chrUn_NW_021160780v1
QNVO02000913.1	chrUn_NW_021160774v1
QNVO02002344.1	chrUn_NW_021162198v1
QNVO02000925.1	chrUn_NW_021160786v1
QNVO02000916.1	chrUn_NW_021160777v1
QNVO02000915.1	chrUn_NW_021160776v1
QNVO02000911.1	chrUn_NW_021160772v1
QNVO02000909.1	chrUn_NW_021160770v1
QNVO02000924.1	chrUn_NW_021160785v1
QNVO02000901.1	chrUn_NW_021160762v1
QNVO02000978.1	chrUn_NW_021160837v1
QNVO02000907.1	chrUn_NW_021160768v1
QNVO02002926.1	chrUn_NW_021162780v1
QNVO02000833.1	chrUn_NW_021160694v1
QNVO02000928.1	chrUn_NW_021160789v1
QNVO02000905.1	chrUn_NW_021160766v1
QNVO02000900.1	chrUn_NW_021160761v1
QNVO02000893.1	chrUn_NW_021160754v1
QNVO02000890.1	chrUn_NW_021160751v1
QNVO02000891.1	chrUn_NW_021160752v1
QNVO02000912.1	chrUn_NW_021160773v1
QNVO02000903.1	chrUn_NW_021160764v1
QNVO02000887.1	chrUn_NW_021160748v1
QNVO02000898.1	chrUn_NW_021160759v1
QNVO02000894.1	chrUn_NW_021160755v1
QNVO02000908.1	chrUn_NW_021160769v1
QNVO02000940.1	chrUn_NW_021160801v1
QNVO02000886.1	chrUn_NW_021160747v1
QNVO02000902.1	chrUn_NW_021160763v1
QNVO02000896.1	chrUn_NW_021160757v1
QNVO02001294.1	chrUn_NW_021161153v1
QNVO02000882.1	chrUn_NW_021160743v1
QNVO02000883.1	chrUn_NW_021160744v1
QNVO02000904.1	chrUn_NW_021160765v1
QNVO02000884.1	chrUn_NW_021160745v1
QNVO02000880.1	chrUn_NW_021160741v1
QNVO02000895.1	chrUn_NW_021160756v1
QNVO02000897.1	chrUn_NW_021160758v1
QNVO02000892.1	chrUn_NW_021160753v1
QNVO02001540.1	chrUn_NW_021161399v1
QNVO02000675.1	chrUn_NW_021160539v1
QNVO02002194.1	chrUn_NW_021162048v1
QNVO02000869.1	chrUn_NW_021160730v1
QNVO02000868.1	chrUn_NW_021160729v1
QNVO02000878.1	chrUn_NW_021160739v1
QNVO02000863.1	chrUn_NW_021160724v1
QNVO02002412.1	chrUn_NW_021162266v1
QNVO02000875.1	chrUn_NW_021160736v1
QNVO02000876.1	chrUn_NW_021160737v1
QNVO02002418.1	chrUn_NW_021162272v1
QNVO02000873.1	chrUn_NW_021160734v1
QNVO02000865.1	chrUn_NW_021160726v1
QNVO02000851.1	chrUn_NW_021160712v1
QNVO02000859.1	chrUn_NW_021160720v1
QNVO02000874.1	chrUn_NW_021160735v1
QNVO02000853.1	chrUn_NW_021160714v1
QNVO02000860.1	chrUn_NW_021160721v1
QNVO02000935.1	chrUn_NW_021160796v1
QNVO02000864.1	chrUn_NW_021160725v1
QNVO02000846.1	chrUn_NW_021160707v1
QNVO02000849.1	chrUn_NW_021160710v1
QNVO02000845.1	chrUn_NW_021160706v1
QNVO02000862.1	chrUn_NW_021160723v1
QNVO02000856.1	chrUn_NW_021160717v1
QNVO02000871.1	chrUn_NW_021160732v1
QNVO02000872.1	chrUn_NW_021160733v1
QNVO02003003.1	chrUn_NW_021162857v1
QNVO02000861.1	chrUn_NW_021160722v1
QNVO02000848.1	chrUn_NW_021160709v1
QNVO02000870.1	chrUn_NW_021160731v1
QNVO02000906.1	chrUn_NW_021160767v1
QNVO02000852.1	chrUn_NW_021160713v1
QNVO02000854.1	chrUn_NW_021160715v1
QNVO02000858.1	chrUn_NW_021160719v1
QNVO02000914.1	chrUn_NW_021160775v1
QNVO02000850.1	chrUn_NW_021160711v1
QNVO02001637.1	chrUn_NW_021161496v1
QNVO02000839.1	chrUn_NW_021160700v1
QNVO02000842.1	chrUn_NW_021160703v1
QNVO02000857.1	chrUn_NW_021160718v1
QNVO02000867.1	chrUn_NW_021160728v1
QNVO02000843.1	chrUn_NW_021160704v1
QNVO02000799.1	chrUn_NW_021160660v1
QNVO02000881.1	chrUn_NW_021160742v1
QNVO02000836.1	chrUn_NW_021160697v1
QNVO02000847.1	chrUn_NW_021160708v1
QNVO02000834.1	chrUn_NW_021160695v1
QNVO02000835.1	chrUn_NW_021160696v1
QNVO02000838.1	chrUn_NW_021160699v1
QNVO02000840.1	chrUn_NW_021160701v1
QNVO02000837.1	chrUn_NW_021160698v1
QNVO02000829.1	chrUn_NW_021160690v1
QNVO02000824.1	chrUn_NW_021160685v1
QNVO02000820.1	chrUn_NW_021160681v1
QNVO02000815.1	chrUn_NW_021160676v1
QNVO02000831.1	chrUn_NW_021160692v1
QNVO02000841.1	chrUn_NW_021160702v1
QNVO02000830.1	chrUn_NW_021160691v1
QNVO02000823.1	chrUn_NW_021160684v1
QNVO02000807.1	chrUn_NW_021160668v1
QNVO02000825.1	chrUn_NW_021160686v1
QNVO02000809.1	chrUn_NW_021160670v1
QNVO02000816.1	chrUn_NW_021160677v1
QNVO02001241.1	chrUn_NW_021161100v1
